lon,lat,clase,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo
120.797154,23.67501,1,18.488250732421875,5.788000106811523,2420.0,84.40406799316406,95.0,979.0,5.0
48.417589,-18.935594,1,19.01799964904785,10.473166465759277,1900.0,68.70507049560547,193.0,1003.0,4.9
139.668348,35.732392,1,15.615541458129883,8.039416313171387,1466.0,45.43366622924805,143.0,34.0,5.5
120.93138,24.007011,1,19.957500457763672,6.297833442687988,2482.0,80.68724060058594,115.0,629.0,5.2
120.617685,23.584572,1,21.089332580566406,6.259500026702881,2447.0,91.79638671875,81.0,425.0,4.9
135.134352,34.673466,1,14.717000007629395,8.383166313171387,1383.0,50.254024505615234,139.0,215.0,5.6
120.883407,23.804178,1,20.391292572021484,6.092416763305664,2457.0,83.34398651123047,102.0,565.0,5.0
140.09708,36.115592,1,13.889958381652832,8.865083694458008,1332.0,45.106361389160156,134.0,32.0,5.6
80.771809,7.39261,1,21.061250686645508,8.1274995803833,2239.0,66.63548278808594,176.0,1107.0,5.2
94.21,26.75,1,23.9204158782959,10.180167198181152,2264.0,78.76507568359375,71.0,99.0,5.5
94.91,27.47,1,23.500791549682617,9.909250259399414,2703.0,80.20610809326172,78.0,105.0,5.5
95.33,27.47,1,23.281875610351562,9.692583084106445,2590.0,76.21218872070312,87.0,121.0,5.4
95.27,27.3,1,23.338958740234375,9.646249771118164,2496.0,76.07422637939453,85.0,119.0,5.5
95.3268,27.5741,1,23.168790817260742,9.641583442687988,2629.0,76.46257781982422,88.0,120.0,5.2
121.508981,25.131753,1,20.207000732421875,5.704166889190674,3005.0,26.002685546875,554.0,256.0,5.3
175.663935,-40.414538,1,13.144791603088379,9.11441707611084,1243.0,16.955524444580078,256.0,51.0,5.3
106.52357,26.384918,1,14.913249969482422,8.254666328430176,1144.0,71.36436462402344,62.0,1220.0,5.6
39.189465,40.943542,1,12.055749893188477,7.746166706085205,886.0,21.70362663269043,185.0,624.0,6.1
106.52356,26.384923,1,14.913249969482422,8.254666328430176,1144.0,71.36436462402344,62.0,1220.0,5.6
121.417686,24.824978,1,16.833499908447266,5.2833333015441895,2844.0,46.995689392089844,365.0,1038.0,4.9
121.00669,23.92651,1,18.30145835876465,6.048083305358887,2337.0,72.42207336425781,129.0,1021.0,5.2
55.629091,-21.296861,1,17.095375061035156,6.393249988555908,1552.0,50.785369873046875,193.0,1156.0,5.5
120.650344,23.419871,1,20.209625244140625,5.978083610534668,2588.0,93.1470947265625,75.0,665.0,4.9
48.413272,-18.93199,1,19.079750061035156,10.926166534423828,1766.0,72.35250854492188,168.0,968.0,4.9
139.330615,35.603949,1,14.064374923706055,9.095083236694336,1493.0,49.52802658081055,142.0,200.0,5.5
139.354963,35.691842,1,14.514333724975586,9.182833671569824,1487.0,49.31095886230469,146.0,106.0,5.5
120.955794,24.547261,1,19.058082580566406,5.871333599090576,2393.0,68.2485580444336,143.0,621.0,4.9
132.468853,34.400244,1,15.888641357421875,8.567008972167969,1913.0,51.544586181640625,192.0,19.0,5.5
88.360358,26.849185,1,22.40508270263672,8.234167098999023,3629.0,111.48767852783203,35.0,693.0,5.3
121.593572,24.944211,1,20.223207473754883,5.4375834465026855,3190.0,30.962108612060547,555.0,317.0,4.8
121.80434,24.612218,1,21.90279197692871,5.782583713531494,2909.0,35.73944854736328,462.0,122.0,4.8
127.07768,34.717497,1,12.684416770935059,9.369333267211914,1451.0,73.05927276611328,110.0,240.0,5.6
39.84046,43.643453,1,11.851916313171387,8.652999877929688,1680.0,23.75621795654297,340.0,434.0,5.2
92.71,24.66,1,24.450458526611328,10.387582778930664,2537.0,77.65597534179688,64.0,46.0,5.5
92.77,24.73,1,24.690750122070312,10.45716667175293,2443.0,77.39181518554688,64.0,27.0,5.6
122.102492,30.030172,1,16.382043838500977,6.606357097625732,1274.0,40.33953094482422,167.0,81.0,5.5
122.215073,30.007923,1,16.4042911529541,6.486249923706055,1257.0,39.636661529541016,167.0,79.0,5.9
48.417683,-18.938255,1,19.01799964904785,10.473166465759277,1900.0,68.70507049560547,193.0,1003.0,4.8
122.110706,30.032349,1,16.382043838500977,6.606357097625732,1274.0,40.33953094482422,167.0,81.0,5.5
-79.228251,0.111032,1,24.19791603088379,7.959833145141602,2492.0,74.94066619873047,184.0,243.0,5.3
139.468063,35.631648,1,14.841291427612305,8.569916725158691,1527.0,46.71638488769531,152.0,84.0,5.5
-83.187697,33.117031,1,17.51104164123535,13.704750061035156,1169.0,17.606937408447266,237.0,115.0,5.1
135.187605,34.714962,1,14.828125,8.169146537780762,1409.0,49.071441650390625,147.0,214.0,5.4
104.738426,22.627228,1,19.41695785522461,7.785083293914795,1734.0,93.64818572998047,60.0,863.0,5.5
88.26,26.86,1,20.637958526611328,8.52691650390625,3340.0,115.14910125732422,35.0,1100.0,5.4
88.28,27.06,1,18.310667037963867,8.494166374206543,2970.0,113.22860717773438,39.0,1551.0,5.4
